nombre;fecha_inicio;fecha_cierre;region;link;requisitos
2da Convocatoria FNDR Capital Emprende Economía Circular 2026;16/04/2026;07/05/2026;Los Lagos;https://www.sercotec.cl/convocatoria/capital-semilla-economia-circular-fndr/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), con domicilio en la Región de Los Lagos, sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria y que requieran de financiamiento para poder concretarlo. ⏎ ¿Cómo postular? ⏎ Paso 1. Registrarse como usuario o usuaria en ⏎ www.sercotec.cl ⏎ . ⏎ Paso 2. Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3. Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 10 emprendedores y emprendedoras.
2da Convocatoria FNDR Crece Economía Circular 2026;16/04/2026;07/05/2026;Los Lagos;https://www.sercotec.cl/convocatoria/crece-economia-circular-fndr_los-lagos/;1) Personas naturales o jurídicas, con inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, con una actividad económica coherente con la focalización de la presente convocatoria y ventas anuales netas (es decir, sin impuestos) de entre 50 y 10.000 UF. ⏎ Excepcionalmente, podrán postular empresas con menos de un año de antigüedad, que demuestren ventas de al menos 20 UF y tengan, como mínimo, tres meses de inicio de actividades a la fecha de apertura de la convocatoria. ⏎ 2) Cooperativas con inicio de actividades en primera categoría, que registren ventas promedio por asociado/a inferiores a 25.000 UF. Esto se calcula con el monto de las ventas totales de la cooperativa dividido por el número de asociados/as. Se excluyen las cooperativas de servicios financieros. ⏎ ¿Cómo postular? ⏎ Paso 1. Registrarse como usuario o usuaria en www.sercotec.cl. Si ya tiene registro, actualizar sus antecedentes y revisar que se encuentre vinculada a la empresa a postular. La información ingresada es aquella con la que se realiza la postulación y usada por Sercotec durante todo el proceso. ⏎ Paso 2. Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3. Responder el test de preselección y grabar un video de presentación del proyecto de negocio (pitch) siguiendo las indicaciones detalladas en las bases. ⏎ Paso 4. Completar y enviar el formulario de proyecto de negocio y el esquema general del presupuesto para su ejecución, además de adjuntar la carpeta tributaria electrónica de la empresa para solicitar créditos. ⏎ La presente convocatoria tiene una cobertura estimada de 12 empresas beneficiarias.
Capital Semilla Emprende Región de Tarapacá 2026;29/04/2026;13/05/2026;Tarapacá;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-tarapaca-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 26 a nivel territorial.
Capital Semilla Emprende 2026;29/04/2026;13/05/2026;Antofagasta;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-antofagasta-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 27 a nivel territorial.
Capital Semilla emprende region de Atacama 2026;29/04/2026;13/05/2026;Atacama;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-atacama-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 26 a nivel territorial.
Capital Semilla Emprende 2026;29/04/2026;13/05/2026;Coquimbo;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-coquimbo-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 32 a nivel territorial.
Capital Semilla Emprende 2026;29/04/2026;13/05/2026;Valparaíso;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-valparaiso-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 50 a nivel territorial.
Capital Semilla Emprende;29/04/2026;13/05/2026;O'Higgins;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-ohiggins-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 31 a nivel territorial.
Semilla Emprende 26 Comunas 2026 - Región del Maule;29/04/2026;13/05/2026;Maule;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-del-maule-26-comunas-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 24 a nivel territorial.
Semilla Emprende comunas de Talca, Curicó, Linares y Maule 2026 - Región del Maule;29/04/2026;13/05/2026;Maule;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-del-maule-comunas-de-talca-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 13 a nivel territorial.
